Name,Position,Club,Nationality,Age,Appearances,Starts,Minutes Played,Average Rating,Goals,Assists,Player of the Match,Yellow Cards,Red Cards,Goals per 90,Expected Goals,xG per 90,Expected Assists,xA per 90,Non-Penalty xG,NP-xG per 90,xG Overperformance (Goals − xG),Shots,Shots per 90,Shots on Target,Shots on Target per 90,Conversion Rate,Clear Cut Chances Created,Clear Cut Chances Created per 90,Penalties Taken,Penalties Scored,Pass Completion %,Passes Completed,Passes Completed per 90,Key Passes,Key Passes per 90,Progressive Passes,Progressive Passes per 90,Passes Attempted,Passes Attempted per 90,Crosses Attempted,Crosses Completed,Open Play Crosses Attempted,Open Play Crosses Completed,Tackles Completed,Tackles Completed per 90,Interceptions,Clearances,Blocks,Pressures Completed per 90,Tackles Attempted,Interceptions per 90,Clearances per 90,Blocks per 90,Key Tackles,Key Tackles per 90,Pressures Attempted,Pressures Attempted per 90,Pressures Completed,Fouls Made,Fouls Won (Against),Save Percentage,Saves per 90,Clean Sheets,Clean Sheets per 90,Goals Conceded per 90,Expected Goals Prevented,Saves Held,Saves Parried,Saves Tipped,Penalties Faced,Penalties Saved,Penalty Save Ratio,Goals Conceded,Distance per 90 (km),Sprints per 90,Dribbles per 90,Distance (km),Sprints,Dribbles,Headers Attempted,Headers Won,Goal Contributions,Goal Contributions per 90,Non-Penalty Contributions per 90,Defensive Actions per 90,Attacking Actions per 90,Creative Actions per 90,Progressive Pass %
Sayha Seha,M/AM (RL),Catanzaro,Madagascar,21,38,38,3406,7.16,4,7,0,1,0,0.11,5.19,0.14,2.88,0.08,5.19,0.14,-1.19,37,1.0,12,0.3,10.8%,1,0.03,0,0,78.8%,810,21.4,23,0.61,44,1.2,1028,27.2,52,10,52,10,46,1.22,21,4,3,0.7,57,0.55,0.11,0.08,0,0.00,93,2.5,26,44,44,,,,,,,,,,,,,,3.63,3.5,0.8,137.2,134,32,65,19,11,0.29,0.29,3.01,1.56,3.17,4.3%
Fabrizio Bagheria,GK,Modena F.C.,Italy,24,36,36,3240,7.28,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0,0.0,,0,0.00,0,0,61.1%,440,12.2,0,0.00,0,0.0,720,20.0,0,0,0,0,,,0,0,0,0.0,,0.00,0.00,0.00,0,0.00,0,0.0,0,0,34,0.0%,0.0,8,0.22,1.19,0.00,0,0,0,0,0,,43,0.00,0.0,0.0,0.0,0,0,,,0,0.00,0.00,0.00,0.00,0.94,0.0%
Francesco Fabri,M/AM (LC),Empoli FC,Italy,22,36,36,3183,6.86,2,12,2,0,0,0.06,1.20,0.03,8.32,0.24,1.20,0.03,0.80,13,0.4,5,0.1,15.4%,23,0.65,0,0,86.9%,1395,39.4,71,2.01,222,6.3,1606,45.4,97,22,97,22,68,1.92,58,13,9,1.8,73,1.64,0.37,0.25,0,0.00,235,6.6,64,25,17,,,,,,,,,,,,,,10.89,13.3,1.7,385.0,472,60,145,67,14,0.40,0.40,4.52,3.17,8.45,13.8%
Giuseppe Brugognone,"M (R), AM (RL)",Empoli FC,Italy,20,36,36,2861,7.06,3,4,3,0,0,0.09,5.22,0.16,3.10,0.10,5.22,0.16,-2.22,43,1.4,18,0.6,7.0%,6,0.19,0,0,89.9%,1222,38.4,58,1.82,104,3.3,1359,42.8,165,32,165,32,50,1.57,47,14,9,2.3,59,1.48,0.44,0.28,0,0.00,255,8.0,73,33,28,,,,,,,,,,,,,,11.15,13.7,4.0,354.5,435,127,162,65,7,0.22,0.22,4.37,5.85,8.15,7.7%
Tommaso Casani,D (RC),Virtus Entella,Italy,21,36,36,3240,6.84,1,4,0,0,1,0.03,1.54,0.04,0.06,0.00,1.54,0.04,-0.54,7,0.2,1,0.0,14.3%,0,0.00,0,0,69.4%,500,13.9,0,0.00,0,0.0,720,20.0,0,0,0,0,62,1.72,0,0,0,0.0,64,0.00,0.00,0.00,0,0.00,0,0.0,0,41,17,,,,,,,,,,,,,,0.00,0.0,0.0,0.0,0,0,0,0,5,0.14,0.14,2.86,0.06,0.47,0.0%
Emiliano Bellotti,D (C),Virtus Entella,Italy,20,36,36,3240,7.57,3,5,0,0,0,0.08,1.28,0.04,0.00,0.00,1.28,0.04,1.72,13,0.4,2,0.1,23.1%,0,0.00,0,0,71.9%,518,14.4,0,0.00,0,0.0,720,20.0,0,0,0,0,61,1.69,0,0,0,0.0,64,0.00,0.00,0.00,0,0.00,0,0.0,0,42,20,,,,,,,,,,,,,,0.00,0.0,0.0,0.0,0,0,0,0,8,0.22,0.22,2.86,0.14,0.56,0.0%
Leonardo Barsotti,M/AM (RL),Empoli FC,Italy,19,36,36,3047,6.79,3,4,1,1,0,0.09,3.23,0.10,2.46,0.07,3.23,0.10,-0.23,32,0.9,11,0.3,9.4%,2,0.06,0,0,89.3%,1293,38.2,54,1.60,113,3.3,1448,42.8,140,28,140,28,43,1.27,71,17,12,1.7,53,2.10,0.50,0.35,0,0.00,280,8.3,59,32,19,,,,,,,,,,,,,,11.51,10.8,3.2,389.7,365,107,202,37,7,0.21,0.21,4.67,4.46,7.06,7.8%
Mattia Anzalone,"DM, M (C)",Virtus Entella,Italy,20,36,36,3240,6.91,3,7,1,0,0,0.08,2.22,0.06,2.95,0.08,2.22,0.06,0.78,22,0.6,5,0.1,13.6%,0,0.00,0,0,68.8%,495,13.8,0,0.00,0,0.0,720,20.0,0,0,0,0,69,1.92,0,0,0,0.0,92,0.00,0.00,0.00,0,0.00,0,0.0,0,41,38,,,,,,,,,,,,,,0.00,0.0,0.0,0.0,0,0,0,0,10,0.28,0.28,3.06,0.22,1.06,0.0%
Umberto Ghio,D (C),Virtus Entella,Italy,20,36,36,3186,6.83,1,6,1,2,0,0.03,0.89,0.03,1.68,0.05,0.89,0.03,0.11,11,0.3,5,0.1,9.1%,3,0.08,0,0,87.7%,1532,43.3,11,0.31,84,2.4,1746,49.3,2,0,2,0,10,0.28,109,29,14,0.8,13,3.08,0.82,0.40,3,0.08,101,2.9,28,10,11,,,,,,,,,,,,,,9.11,2.5,0.0,322.4,88,1,232,162,7,0.20,0.20,4.04,0.28,2.71,4.8%
Mirko Castelnuovo,GK,Modena F.C.,Italy,19,36,36,3146,6.71,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0,0.0,,0,0.00,0,0,68.1%,618,17.7,3,0.09,0,0.0,907,25.9,0,0,0,1132,,,0,137,110,0.0,,0.00,3.92,3.15,0,0.00,0,0.0,0,2,14,67.9%,2.2,10,0.29,1.03,0.41,20,46,10,3,0,0.0%,36,5.14,0.0,0.0,179.8,0,0,,,0,0.00,0.00,3.20,32.38,0.40,0.0%
Tommaso Ciardi,GK,Monza,Italy,20,36,36,3240,6.43,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0,0.0,,0,0.00,0,0,67.1%,613,17.0,1,0.03,0,0.0,914,25.4,0,0,0,1747,,,0,176,155,0.0,,0.00,4.89,4.31,0,0.00,0,0.0,0,0,12,63.1%,2.8,4,0.11,1.61,-8.01,20,56,23,4,0,0.0%,58,4.89,0.0,0.0,176.0,0,0,,,0,0.00,0.00,4.31,48.53,0.33,0.0%
